model,dataset,pretraining length,ImageNet accuracy,freeze encoder,pretraining scheme,seed,accuracy,balanced accuracy,sensitivity,specificity,precision,dice index,jaccard index,mcc,modified hausdorff distance,area under roc,average precision score,mean dice index,mean jaccard index
ResNet50 Attention U-Net,ACDC,5,0.054,False,advanced,123128,0.9944183092614368,,,,,,,,3.5427065002600195,0.9987237408881652,0.9618878792024356,0.900771026675125,0.8211972041656802
ResNet50 Attention U-Net,ACDC,5,0.054,True,advanced,123124,0.9927897851606952,,,,,,,,4.749539150196216,0.9973482724945264,0.941537393746987,0.8765160236516367,0.7825479960286698
ResNet50 Attention U-Net,ACDC,5,0.054,True,advanced,123125,0.9932317795264016,,,,,,,,4.247660756497035,0.998187343888676,0.9489502535239795,0.8831747545080209,0.7928835711454889
ResNet50 Attention U-Net,ACDC,5,0.054,True,advanced,123126,0.9929750993973332,,,,,,,,4.787607292560998,0.9979482052424364,0.945285926568998,0.8798193306003012,0.7877651260705859
ResNet50 Attention U-Net,ACDC,5,0.054,True,advanced,123127,0.9929516132951788,,,,,,,,4.583830410998043,0.9973291062801356,0.943986800887029,0.8792378963047501,0.7867624425604479
ResNet50 Attention U-Net,ACDC,5,0.054,True,advanced,123128,0.9932528021809328,,,,,,,,4.343910489143709,0.998235601731722,0.948242173830348,0.8841050441799442,0.7946371645816793
ResNet50 Attention U-Net,ACDC,20,0.302,False,advanced,123124,0.9944201059112074,,,,,,,,3.842328011135575,0.9983219300902904,0.9617798906364604,0.9011186211026472,0.8218869795827205
ResNet50 Attention U-Net,ACDC,20,0.302,False,advanced,123125,0.99466541343245,,,,,,,,3.160089116287569,0.9985243535236528,0.9637831083246392,0.9046379491055616,0.8276233500991443
ResNet50 Attention U-Net,ACDC,20,0.302,False,advanced,123126,0.9945748030130964,,,,,,,,3.35142217476927,0.9973903775172382,0.9618412463589854,0.9034647695749736,0.8257481646679729
ResNet50 Attention U-Net,ACDC,20,0.302,False,advanced,123127,0.9946653578659624,,,,,,,,3.32828019364656,0.9987666157043744,0.9647517928550944,0.903608433561256,0.825979311233196
ResNet50 Attention U-Net,ACDC,20,0.302,False,advanced,123128,0.9943367376574236,,,,,,,,3.647428398353356,0.9980613861797816,0.9608617159471642,0.9000794776006661,0.8202252904473214
ResNet50 Attention U-Net,ACDC,20,0.302,True,advanced,123124,0.9941914127698012,,,,,,,,3.929604031521825,0.9989555739230128,0.9609345395840369,0.8977027176604091,0.816127169091068
ResNet50 Attention U-Net,ACDC,20,0.302,True,advanced,123125,0.9943032125431492,,,,,,,,3.8448765228333257,0.998676425263466,0.9612106489246393,0.8987946289028037,0.8179634554282131
ResNet50 Attention U-Net,ACDC,20,0.302,True,advanced,123126,0.9941559983949436,,,,,,,,3.6056352549294615,0.9982545454738108,0.9604648819033492,0.8971921626711156,0.8154406464692067
ResNet50 Attention U-Net,ACDC,20,0.302,True,advanced,123127,0.9942500539365374,,,,,,,,3.652805853588635,0.9987286605467912,0.959838132390326,0.898422045579114,0.8174423239490552
ResNet50 Attention U-Net,ACDC,20,0.302,True,advanced,123128,0.9941653706092102,,,,,,,,3.825164751427303,0.998469865677765,0.9592739964899958,0.896737439242651,0.8146891566336271
ResNet50 Attention U-Net,ACDC,50,0.482,False,advanced,123124,0.994648206343411,,,,,,,,3.3361829723608167,0.998540886923318,0.963919352026856,0.9039134932902247,0.8262253872060036
ResNet50 Attention U-Net,ACDC,50,0.482,False,advanced,123125,0.9946661913632786,,,,,,,,3.288200185742959,0.9980065234354428,0.9633945928924762,0.903901439683358,0.8263352083876679
ResNet50 Attention U-Net,ACDC,50,0.482,False,advanced,123126,0.9945931769983783,,,,,,,,3.6484894801977057,0.9973370756747872,0.962693735688152,0.9029313922007048,0.8247676906394384
ResNet50 Attention U-Net,ACDC,50,0.482,False,advanced,123127,0.9946096802452392,,,,,,,,3.346454652364041,0.9979226986555348,0.9634164367835224,0.9033177010266296,0.8251857580239341
ResNet50 Attention U-Net,ACDC,50,0.482,False,advanced,123128,0.9947174792314696,,,,,,,,3.0581775152653776,0.9969755338508036,0.963261810565235,0.90477660769658,0.8277465826592189
ResNet50 Attention U-Net,ACDC,50,0.482,True,advanced,123124,0.9943081579605588,,,,,,,,3.841760160203623,0.9982870747494376,0.9612012967988038,0.8991149274141105,0.8183276510212462
ResNet50 Attention U-Net,ACDC,50,0.482,True,advanced,123125,0.99449306470962,,,,,,,,3.837726815654572,0.998435344770753,0.96365058600026,0.9015902988543388,0.8222619075793096
ResNet50 Attention U-Net,ACDC,50,0.482,True,advanced,123126,0.9943394604153232,,,,,,,,3.806705093283672,0.9978475913697336,0.9605794357807844,0.8996775816708148,0.8193234852217558
ResNet50 Attention U-Net,ACDC,50,0.482,True,advanced,123127,0.9942959518554167,,,,,,,,4.015410636238205,0.99805326955426,0.9603074633236092,0.899227454435132,0.8185414040701416
ResNet50 Attention U-Net,ACDC,50,0.482,True,advanced,123128,0.994469856439904,,,,,,,,3.639449795050469,0.9983090951364496,0.9635833584973992,0.9016081713073874,0.8225121373586083
ResNet50 Attention U-Net,ACDC,100,0.555,False,advanced,123124,0.994843763335957,,,,,,,,3.3587639534075837,0.996967435221066,0.9637474242937586,0.9063367261267636,0.8304221466356189
ResNet50 Attention U-Net,ACDC,100,0.555,False,advanced,123125,0.9947819919237444,,,,,,,,2.984503578832824,0.9986088395282948,0.9635031153571544,0.9046592627624456,0.8275888854430905
ResNet50 Attention U-Net,ACDC,100,0.555,False,advanced,123126,0.99467602663161,,,,,,,,3.3400863214192427,0.9980872295943758,0.9640598108127744,0.9046065040157202,0.8273446001973284
ResNet50 Attention U-Net,ACDC,100,0.555,False,advanced,123127,0.994669729096332,,,,,,,,3.0533379302746746,0.9966611727348128,0.9615574042289092,0.9036717729802224,0.8261719444762923
ResNet50 Attention U-Net,ACDC,100,0.555,False,advanced,123128,0.9946420199411083,,,,,,,,3.125746563876145,0.9980825375382508,0.9630090466393834,0.9030919759573154,0.8249763363746112
ResNet50 Attention U-Net,ACDC,100,0.555,True,advanced,123124,0.9944392948716428,,,,,,,,3.614147455722496,0.9979477020792458,0.961280809726714,0.900652968267801,0.8209495595687502
ResNet50 Attention U-Net,ACDC,100,0.555,True,advanced,123125,0.9946059387683976,,,,,,,,3.536213161186564,0.9979376440750708,0.9633455434571292,0.9030871314662274,0.8248477015621821
ResNet50 Attention U-Net,ACDC,100,0.555,True,advanced,123126,0.994456724226633,,,,,,,,3.312920492989033,0.998230572413556,0.9627046609666072,0.9012898165067958,0.8220614414580721
ResNet50 Attention U-Net,ACDC,100,0.555,True,advanced,123127,0.9943149741163892,,,,,,,,3.645913718219314,0.9977731964488656,0.960522730891919,0.8989394206626417,0.8181084636163197
ResNet50 Attention U-Net,ACDC,100,0.555,True,advanced,123128,0.9945504093249752,,,,,,,,3.6600377496584833,0.998122737540454,0.9631313489210724,0.902618998835674,0.8241244734381716
ResNet50 Attention U-Net,ACDC,150,0.598,False,advanced,123124,0.9946680435795368,,,,,,,,3.0792115970506866,0.9986192394370074,0.9639145953080992,0.90345109853475,0.82570746760936
ResNet50 Attention U-Net,ACDC,150,0.598,False,advanced,123125,0.994720868787222,,,,,,,,3.135809219060562,0.9973470757918436,0.9633320457697634,0.9043013120551228,0.8270565820554671
ResNet50 Attention U-Net,ACDC,150,0.598,False,advanced,123126,0.9944634477716504,,,,,,,,2.966372614276793,0.9975539966695112,0.962243999454536,0.901423078352544,0.822484191387786
ResNet50 Attention U-Net,ACDC,150,0.598,False,advanced,123127,0.9946236089115014,,,,,,,,3.017752073116538,0.9970415536748684,0.961523212212632,0.9030613170332886,0.8248988053128253
ResNet50 Attention U-Net,ACDC,150,0.598,False,advanced,123128,0.9948134055114844,,,,,,,,3.1782882928417298,0.9978082060086972,0.9647720706867994,0.9060530314349996,0.8300221763547703
ResNet50 Attention U-Net,ACDC,150,0.598,True,advanced,123124,0.9943304030778204,,,,,,,,3.951556591040573,0.9981102404248796,0.9609326382566832,0.8989009042712818,0.8181866660470639
ResNet50 Attention U-Net,ACDC,150,0.598,True,advanced,123125,0.9943602608039034,,,,,,,,3.825121048593798,0.9985103019360902,0.961146219514457,0.9001641770859504,0.8200966721706197
ResNet50 Attention U-Net,ACDC,150,0.598,True,advanced,123126,0.9943674288808227,,,,,,,,3.663829418083024,0.9977362746075144,0.9617691334927012,0.9003036660764684,0.8203224519337754
ResNet50 Attention U-Net,ACDC,150,0.598,True,advanced,123127,0.994131975150074,,,,,,,,3.76541748455716,0.996749006412184,0.9571137082534404,0.8966856641858633,0.8146588996246448
ResNet50 Attention U-Net,ACDC,150,0.598,True,advanced,123128,0.9946574118582144,,,,,,,,3.507892602195888,0.9985945273593376,0.9654201344128508,0.9044498532194836,0.8271570805589633
ResNet50 Attention U-Net,ACDC,200,0.671,False,advanced,123124,0.994667821313586,,,,,,,,3.295114177967408,0.9971882227693328,0.9624399883049736,0.9035439473114538,0.8257803520877364
ResNet50 Attention U-Net,ACDC,200,0.671,False,advanced,123125,0.994800736352278,,,,,,,,3.1119980823747344,0.9973492970373232,0.9641737007357236,0.9058852466063256,0.8296932962889771
ResNet50 Attention U-Net,ACDC,200,0.671,False,advanced,123126,0.9945276826314866,,,,,,,,2.809793622429165,0.9970473868773472,0.961987108665842,0.9027299419487212,0.8244075496062203
ResNet50 Attention U-Net,ACDC,200,0.671,False,advanced,123127,0.994868916432744,,,,,,,,3.567562326874516,0.9973501226904824,0.9643058278057022,0.9071960329023424,0.8317713529980794
ResNet50 Attention U-Net,ACDC,200,0.671,False,advanced,123128,0.994803922164242,,,,,,,,2.96334207496329,0.9963035690780788,0.9639543411565852,0.906106901664616,0.8300621508294493
ResNet50 Attention U-Net,ACDC,200,0.671,True,advanced,123124,0.9946059943348854,,,,,,,,3.7253561088372753,0.9982952369102271,0.9644840290625704,0.9026591522582862,0.8243179431062543
ResNet50 Attention U-Net,ACDC,200,0.671,True,advanced,123125,0.994617904085426,,,,,,,,3.1510804373908066,0.9983230193571022,0.9643023252447264,0.9031860951020988,0.8251119684289939
ResNet50 Attention U-Net,ACDC,200,0.671,True,advanced,123126,0.9945427041053412,,,,,,,,3.3570376650943103,0.9985084651475414,0.9635112885171156,0.9029057796332784,0.8246803135960231
ResNet50 Attention U-Net,ACDC,200,0.671,True,advanced,123127,0.9945493906060332,,,,,,,,3.4692497758424863,0.9981854943675168,0.9629273378937055,0.9027774728287464,0.8245243894761877
ResNet50 Attention U-Net,ACDC,200,0.671,True,advanced,123128,0.9946361298934072,,,,,,,,3.664225295091271,0.997908589405791,0.9632307394677274,0.904140243984112,0.8266346135608127
ResNet50 Attention U-Net,ACDC,250,0.719,False,advanced,123124,0.9946652652551494,,,,,,,,3.57805129636303,0.9978763871659028,0.9635621544210972,0.903968708548538,0.8264043299669268
ResNet50 Attention U-Net,ACDC,250,0.719,False,advanced,123125,0.9947729531084042,,,,,,,,3.0276319130588214,0.9973756336391538,0.9640317879002094,0.9056208121801048,0.8292909637449166
ResNet50 Attention U-Net,ACDC,250,0.719,False,advanced,123126,0.9947152936162847,,,,,,,,3.146096266111702,0.9981656031492728,0.964195011472241,0.9051714426705308,0.8285183536544617
ResNet50 Attention U-Net,ACDC,250,0.719,False,advanced,123127,0.9947595986291822,,,,,,,,2.2313217301590744,0.9976230337816058,0.9647472406774116,0.9044930397803038,0.8273704622109612
ResNet50 Attention U-Net,ACDC,250,0.719,False,advanced,123128,0.9948514500334288,,,,,,,,2.786712142732226,0.9970343117893375,0.9648270177574366,0.9066302990506332,0.8309627933522155
ResNet50 Attention U-Net,ACDC,250,0.719,True,advanced,123124,0.9946080873392572,,,,,,,,3.546814380205795,0.9989915223097542,0.9642466777538083,0.9027995700174086,0.8244138906444856
ResNet50 Attention U-Net,ACDC,250,0.719,True,advanced,123125,0.9945095494343184,,,,,,,,3.56616553431067,0.9981181046057084,0.9623081551455932,0.901873585415506,0.8227716750650306
ResNet50 Attention U-Net,ACDC,250,0.719,True,advanced,123126,0.99458795374853,,,,,,,,3.695715605951918,0.9981438473054328,0.9638209817306462,0.9031187796414152,0.8249169156803889
