dataset,metric,margin,encoder,pretraining_scheme,pooled,level,pretraining_length,robustness
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,3,0,0.21027271449565887
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,3,0,0.2489093691110611
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,4,0,0.19689776003360748
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,4,0,0.2437460720539093
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,False,5,0,0.1787608563899994
ACDC,inv_pearson_corr,0.25,resnet50,advanced_training,True,5,0,0.21370020508766174
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,1,0,0.4192429184913635
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,1,0,0.5019022822380066
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,2,0,0.44633403420448303
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,2,0,0.49618208408355713
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,3,0,0.4508327543735504
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,3,0,0.49482792615890503
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,4,0,0.4359869360923767
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,4,0,0.488907128572464
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,False,5,0,0.3701578974723816
ACDC,inv_pearson_corr,0.5,resnet50,advanced_training,True,5,0,0.4492182433605194
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,1,0,0.6629353165626526
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,1,0,0.747187077999115
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,2,0,0.6959604024887085
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,2,0,0.7461821436882019
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,3,0,0.6992006897926331
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,3,0,0.7448278665542603
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,4,0,0.6820866465568542
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,4,0,0.7388180494308472
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,False,5,0,0.6037773489952087
ACDC,inv_pearson_corr,0.75,resnet50,advanced_training,True,5,0,0.6921356916427612
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,1,0,0.9128178358078003
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,1,0,0.9971538782119751
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,2,0,0.945960521697998
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,2,0,0.9961821436882019
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,3,0,0.9492006897926331
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,3,0,0.9948278665542603
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,4,0,0.9320865869522095
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,4,0,0.9888180494308472
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,False,5,0,0.8501033186912537
ACDC,inv_pearson_corr,1.0,resnet50,advanced_training,True,5,0,0.9397708177566528
ACDC,l2_loss,0.0,resnet50,advanced_training,False,1,0,0.0022465717047452927
ACDC,l2_loss,0.0,resnet50,advanced_training,True,1,0,0.0019929995760321617
ACDC,l2_loss,0.0,resnet50,advanced_training,False,2,0,0.0012683894019573927
ACDC,l2_loss,0.0,resnet50,advanced_training,True,2,0,0.0008558219415135682
ACDC,l2_loss,0.0,resnet50,advanced_training,False,3,0,0.0011837794445455074
ACDC,l2_loss,0.0,resnet50,advanced_training,True,3,0,0.0007380883325822651
ACDC,l2_loss,0.0,resnet50,advanced_training,False,4,0,0.001209488371387124
ACDC,l2_loss,0.0,resnet50,advanced_training,True,4,0,0.00045646479702554643
ACDC,l2_loss,0.0,resnet50,advanced_training,False,5,0,0.0035347207449376583
ACDC,l2_loss,0.0,resnet50,advanced_training,True,5,0,0.0011697961017489433
ACDC,l2_loss,0.25,resnet50,advanced_training,False,1,0,0.24735528230667114
ACDC,l2_loss,0.25,resnet50,advanced_training,True,1,0,0.24991102516651154
ACDC,l2_loss,0.25,resnet50,advanced_training,False,2,0,0.24736042320728302
ACDC,l2_loss,0.25,resnet50,advanced_training,True,2,0,0.24983541667461395
ACDC,l2_loss,0.25,resnet50,advanced_training,False,3,0,0.24785245954990387
ACDC,l2_loss,0.25,resnet50,advanced_training,True,3,0,0.24981552362442017
ACDC,l2_loss,0.25,resnet50,advanced_training,False,4,0,0.24740082025527954
ACDC,l2_loss,0.25,resnet50,advanced_training,True,4,0,0.24972599744796753
ACDC,l2_loss,0.25,resnet50,advanced_training,False,5,0,0.23790334165096283
ACDC,l2_loss,0.25,resnet50,advanced_training,True,5,0,0.2479860782623291
ACDC,l2_loss,0.5,resnet50,advanced_training,False,1,0,0.49735531210899353
ACDC,l2_loss,0.5,resnet50,advanced_training,True,1,0,0.49991104006767273
ACDC,l2_loss,0.5,resnet50,advanced_training,False,2,0,0.4973604083061218
ACDC,l2_loss,0.5,resnet50,advanced_training,True,2,0,0.49983537197113037
ACDC,l2_loss,0.5,resnet50,advanced_training,False,3,0,0.4978524446487427
ACDC,l2_loss,0.5,resnet50,advanced_training,True,3,0,0.49981552362442017
ACDC,l2_loss,0.5,resnet50,advanced_training,False,4,0,0.49740082025527954
ACDC,l2_loss,0.5,resnet50,advanced_training,True,4,0,0.4997260272502899
ACDC,l2_loss,0.5,resnet50,advanced_training,False,5,0,0.48790332674980164
ACDC,l2_loss,0.5,resnet50,advanced_training,True,5,0,0.4979861080646515
ACDC,l2_loss,0.75,resnet50,advanced_training,False,1,0,0.7473552823066711
ACDC,l2_loss,0.75,resnet50,advanced_training,True,1,0,0.7499110698699951
ACDC,l2_loss,0.75,resnet50,advanced_training,False,2,0,0.7473604679107666
ACDC,l2_loss,0.75,resnet50,advanced_training,True,2,0,0.7498353719711304
ACDC,l2_loss,0.75,resnet50,advanced_training,False,3,0,0.7478523850440979
ACDC,l2_loss,0.75,resnet50,advanced_training,True,3,0,0.7498155236244202
ACDC,l2_loss,0.75,resnet50,advanced_training,False,4,0,0.7474008202552795
ACDC,l2_loss,0.75,resnet50,advanced_training,True,4,0,0.7497259974479675
ACDC,l2_loss,0.75,resnet50,advanced_training,False,5,0,0.737903356552124
ACDC,l2_loss,0.75,resnet50,advanced_training,True,5,0,0.7479861378669739
ACDC,l2_loss,1.0,resnet50,advanced_training,False,1,0,0.9973552823066711
ACDC,l2_loss,1.0,resnet50,advanced_training,True,1,0,0.9999110698699951
ACDC,l2_loss,1.0,resnet50,advanced_training,False,2,0,0.997360348701477
ACDC,l2_loss,1.0,resnet50,advanced_training,True,2,0,0.9998354315757751
ACDC,l2_loss,1.0,resnet50,advanced_training,False,3,0,0.9978523850440979
ACDC,l2_loss,1.0,resnet50,advanced_training,True,3,0,0.9998155236244202
ACDC,l2_loss,1.0,resnet50,advanced_training,False,4,0,0.9974008202552795
ACDC,l2_loss,1.0,resnet50,advanced_training,True,4,0,0.9997259974479675
ACDC,l2_loss,1.0,resnet50,advanced_training,False,5,0,0.987903356552124
ACDC,l2_loss,1.0,resnet50,advanced_training,True,5,0,0.9979861378669739
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,1,1,0.024282673373818398
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,1,1,0.02364216558635235
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,2,1,0.03066411055624485
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,2,1,0.028084712103009224
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,3,1,0.034970540553331375
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,3,1,0.030517570674419403
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,4,1,0.032876156270504
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,4,1,0.024569682776927948
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,5,1,0.03285469114780426
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,5,1,0.024227166548371315
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,1,1,0.23156797885894775
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,1,1,0.25946274399757385
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,2,1,0.19983665645122528
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,2,1,0.2534288167953491
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,3,1,0.1883600950241089
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,3,1,0.2457691729068756
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,4,1,0.19156447052955627
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,4,1,0.24062280356884003
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,5,1,0.2103121280670166
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,5,1,0.24271582067012787
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,1,1,0.4721016585826874
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,1,1,0.502017080783844
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,2,1,0.43290549516677856
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,2,1,0.4938545227050781
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,3,1,0.4141264259815216
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,3,1,0.4893335700035095
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,4,1,0.42055922746658325
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,4,1,0.4873049557209015
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,5,1,0.4429370164871216
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,5,1,0.48751580715179443
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,1,1,0.7183417081832886
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,1,1,0.7485795617103577
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,2,1,0.6804143786430359
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,2,1,0.743751049041748
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,3,1,0.6616433262825012
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,3,1,0.7393335700035095
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,4,1,0.668116569519043
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,4,1,0.7373049259185791
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,5,1,0.6905370354652405
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,5,1,0.7375158667564392
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,1,1,0.9681710600852966
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,1,1,0.9984250664710999
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,2,1,0.9304143786430359
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,2,1,0.993751049041748
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,3,1,0.9116433262825012
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,3,1,0.9893335700035095
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,4,1,0.9181166291236877
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,4,1,0.9873049259185791
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,5,1,0.9405370354652405
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,5,1,0.9875158667564392
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,1,1,0.03610334172844887
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,1,1,0.03830371052026749
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,2,1,0.05246078222990036
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,2,1,0.062261465936899185
